alphabet_size,depth,complexity,rule_set,target,enum_status,enum_time,enum_rule_set,enum_grammars_checked,enum_pruned_status,enum_pruned_time,enum_pruned_rule_set,enum_pruned_grammars_checked
3,6,4,[0 -> [1 1]; 1 -> [1 3]; 2 -> [3 3]; 3 -> [2 2];],[1 3 2 2 3 3 3 3 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 3 2 2 3 3 3 3 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],SAT,0.220078,[0 -> [1 1]; 1 -> [1 3]; 2 -> [3 3]; 3 -> [2 2];],298665,SAT,0.046001,[0 -> [1 1]; 1 -> [1 3]; 2 -> [3 3]; 3 -> [2 2];],8185
3,6,4,[0 -> [1 3 3]; 1 -> [3 1 2]; 2 -> [1]; 3 -> [2];],[1 2 3 1 2 1 3 1 2 2 3 1 2 1 3 1 2 1 2 3 1 2 1 3 1 2 2 3 1 2 1 1 2 3 1 2 1 3 1 2 3 1 2 1 2 3 1 2 1 3 1 2 2 3 1 2 1 3 1 2 1 2 3 1 2 1 3 1 2 2 3 1 2 1 3 1 2 1 2 3 1 2 1 3 1 2 2 3 1 2 1],SAT,0.407965,[0 -> [1 3 3]; 1 -> [3 1 2]; 2 -> [1]; 3 -> [2];],550461,SAT,0.110999,[0 -> [1 3 3]; 1 -> [3 1 2]; 2 -> [1]; 3 -> [2];],19260
3,6,4,[0 -> [3 2]; 1 -> [2 2 1]; 2 -> [3 1]; 3 -> [3];],[3 3 3 3 2 2 1 3 2 2 1 3 1 3 1 2 2 1 3 3 2 2 1 3 2 2 1 3 1 3 1 2 2 1 3 3 1 3 1 2 2 1 3 3 1 3 1 2 2 1 3 2 2 1 3 2 2 1 3 1 3 1 2 2 1],SAT,1.32362,[0 -> [3 2]; 1 -> [2 2 1]; 2 -> [3 1]; 3 -> [3];],1627293,SAT,0.103998,[0 -> [3 2]; 1 -> [2 2 1]; 2 -> [3 1]; 3 -> [3];],17798
3,6,4,[0 -> [1 3]; 1 -> [3 2]; 2 -> [3]; 3 -> [2 3 2];],[2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3],SAT,0.48711,[0 -> [1 3]; 1 -> [3 2]; 2 -> [3]; 3 -> [2 3 2];],675261,SAT,0.040998,[0 -> [1 3]; 1 -> [3 2]; 2 -> [3]; 3 -> [2 3 2];],8333
3,6,4,[0 -> [3 1]; 1 -> [3 3]; 2 -> [3 2]; 3 -> [2 1];],[3 2 3 3 2 1 3 2 3 2 3 3 3 2 3 3 2 1 3 2 2 1 2 1 3 2 3 3 2 1 3 2 3 2 3 3 2 1 3 2 3 2 3 3 3 2 3 3 3 2 3 3 2 1 3 2 3 2 3 3 3 2 3 3 2 1 3 2 2 1 2 1 3 2 3 3 2 1 3 2 2 1 3 2 2 1 2 1 2 1 3 2 2 1 2 1 2 1 3 2 2 1 2 1 3 2 3 3 2 1 3 2 2 1 3 2 2 1 2 1 2 1 3 2 2 1 2 1],SAT,1.35304,[0 -> [3 1]; 1 -> [3 3]; 2 -> [3 2]; 3 -> [2 1];],1791645,SAT,0.159125,[0 -> [3 1]; 1 -> [3 3]; 2 -> [3 2]; 3 -> [2 1];],25410
3,6,4,[0 -> [2 2]; 1 -> [3]; 2 -> [2 3]; 3 -> [1 2 3];],[2 3 1 2 3 3 2 3 1 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 3 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 3 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 3 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 3 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3 1 2 3 2 3 1 2 3 3 2 3 1 2 3],SAT,0.830645,[0 -> [2 2]; 1 -> [3]; 2 -> [2 3]; 3 -> [1 2 3];],1151025,SAT,0.117001,[0 -> [2 2]; 1 -> [3]; 2 -> [2 3]; 3 -> [1 2 3];],22137
3,6,4,[0 -> [2]; 1 -> [1]; 2 -> [3 3]; 3 -> [1 3 3 2];],[1 1 1 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 3 3 2 1 3 3 2 1 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 3 3 2 1 3 3 2 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 1 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 3 3 2 1 3 3 2 1 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 3 3 2 1 3 3 2 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 3 3 2 1 3 3 2 1 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 3 3 2 1 3 3 2 1 1 1 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 3 3 2 1 3 3 2 1 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 3 3 2 1 3 3 2 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 1 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 3 3 2 1 3 3 2 1 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 3 3 2 1 3 3 2 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 3 3 2 1 3 3 2 1 1 1 3 3 2 1 3 3 2 3 3 1 1 3 3 2 1 3 3 2 3 3 1 3 3 2 1 3 3 2],SAT,0.59704,[0 -> [2]; 1 -> [1]; 2 -> [3 3]; 3 -> [1 3 3 2];],852525,SAT,0.195202,[0 -> [2]; 1 -> [1]; 2 -> [3 3]; 3 -> [1 3 3 2];],27290
3,6,4,[0 -> [1 1]; 1 -> [1 1 3]; 2 -> [1]; 3 -> [3 2];],[1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 3 2 1 1 1 3 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 3 2 1 1 1 3 3 2 1 1 1 3 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 3 2 1 1 1 3 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 3 2 1 1 1 3 3 2 1 1 1 3 1 1 3 1 1 3 3 2 3 2 1 1 1 3 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 3 2 1 1 1 3 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 3 2 1 1 1 3 3 2 1 1 1 3 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 3 2 1 1 1 3 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1 3 2 1 1 1 3 3 2 1 1 1 3 1 1 3 1 1 3 3 2 3 2 1 1 1 3 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 1 1 3 1 1 3 3 2 3 2 1],SAT,0.149999,[0 -> [1 1]; 1 -> [1 1 3]; 2 -> [1]; 3 -> [3 2];],194661,SAT,0.047998,[0 -> [1 1]; 1 -> [1 1 3]; 2 -> [1]; 3 -> [3 2];],11600
3,6,4,[0 -> [3]; 1 -> [1 3 2]; 2 -> [2 1]; 3 -> [2 1];],[2 1 1 3 2 1 3 2 2 1 2 1 1 3 2 2 1 2 1 2 1 1 3 2 2 1 1 3 2 1 3 2 2 1 2 1 2 1 1 3 2 2 1 1 3 2 2 1 1 3 2 1 3 2 2 1 2 1 2 1 1 3 2 1 3 2 2 1 2 1 1 3 2 2 1 2 1 2 1 1 3 2 2 1 1 3 2 2 1 1 3 2 1 3 2 2 1 2 1 2 1 1 3 2 1 3 2 2 1 2 1 2 1 1 3 2 1 3 2 2 1 2 1 1 3 2 2 1 2 1 2 1 1 3 2 2 1 1 3 2 2 1 1 3 2 1 3 2 2 1 2 1 1 3 2 2 1 2 1 2 1 1 3 2 2 1 1 3 2],SAT,0.578,[0 -> [2]; 1 -> [1 3 2]; 2 -> [2 1]; 3 -> [2 1];],804801,SAT,0.066002,[0 -> [2]; 1 -> [1 3 2]; 2 -> [2 1]; 3 -> [2 1];],13161
3,6,4,[0 -> [3 1 1]; 1 -> [3]; 2 -> [1 3]; 3 -> [2 2];],[3 2 2 3 2 2 2 2 1 3 1 3 2 2 1 3 1 3 3 2 2 3 2 2 2 2 1 3 1 3 2 2 1 3 1 3 1 3 1 3 3 2 2 3 2 2 1 3 1 3 3 2 2 3 2 2 1 3 1 3 3 2 2 3 2 2 1 3 1 3 3 2 2 3 2 2],SAT,1.21418,[0 -> [3 1 1]; 1 -> [3]; 2 -> [1 3]; 3 -> [2 2];],1666521,SAT,0.163001,[0 -> [3 1 1]; 1 -> [3]; 2 -> [1 3]; 3 -> [2 2];],20240
3,6,4,[0 -> [1]; 1 -> [3]; 2 -> [3 3 1 2]; 3 -> [2 1];],[2 1 2 1 3 3 3 1 2 2 1 2 1 2 1 3 3 3 1 2 2 1 3 3 1 2 3 3 3 1 2 3 3 3 1 2 3 2 1 2 1 2 1 3 3 3 1 2 2 1 2 1 3 3 3 1 2 2 1],SAT,0.491969,[0 -> [1]; 1 -> [3]; 2 -> [3 3 1 2]; 3 -> [2 1];],685869,SAT,0.045002,[0 -> [1]; 1 -> [3]; 2 -> [3 3 1 2]; 3 -> [2 1];],9449
3,6,4,[0 -> [1 1]; 1 -> [3 1]; 2 -> [3 3 1]; 3 -> [2];],[2 2 3 1 2 2 3 1 3 3 1 2 3 1 3 3 1 3 3 1 2 3 1 2 2 3 1 3 3 1 2 3 1 2 2 3 1 2 2 3 1 3 3 1 2 3 1 3 3 1 3 3 1 2 3 1 2 2 3 1 3 3 1 2 3 1],SAT,0.539926,[0 -> [1 1]; 1 -> [3 1]; 2 -> [3 3 1]; 3 -> [2];],671625,SAT,0.040001,[0 -> [1 1]; 1 -> [3 1]; 2 -> [3 3 1]; 3 -> [2];],8426
